image_id,image_path,split,source,dataset,label_path,total_boxes,puffin_boxes,non_puffin_boxes,puffin_bin,distance,scene,difficulty,contains_puffin,density,occlusion,has_detection_overlay,text_prompt,notes
train_18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.0ba2aea0b3069c6ca0fc2dc6f93fa247,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.0ba2aea0b3069c6ca0fc2dc6f93fa247.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.0ba2aea0b3069c6ca0fc2dc6f93fa247.txt,6,6,0,group,,,,yes,group,,no,a photo containing a group of puffins,
test_fullmar32_png.rf.b353cca4d2b721aefc175b22f36f69c2,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\fullmar32_png.rf.b353cca4d2b721aefc175b22f36f69c2.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\fullmar32_png.rf.b353cca4d2b721aefc175b22f36f69c2.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_razorbill19_png.rf.88aa7c16e59b6b9d4fe17b91d4753ca7,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\razorbill19_png.rf.88aa7c16e59b6b9d4fe17b91d4753ca7.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\razorbill19_png.rf.88aa7c16e59b6b9d4fe17b91d4753ca7.txt,3,1,2,single,,,,yes,single,,no,a photo containing a single puffin,
valid_closuep-aufnahme-einer-kr-C3-A4henscharb-die-eier-im-nest-auf-den-farne-inseln-northumberland_jpeg.rf.557b023190873da6dc9191d3f7469536,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\closuep-aufnahme-einer-kr-C3-A4henscharb-die-eier-im-nest-auf-den-farne-inseln-northumberland_jpeg.rf.557b023190873da6dc9191d3f7469536.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\closuep-aufnahme-einer-kr-C3-A4henscharb-die-eier-im-nest-auf-den-farne-inseln-northumberland_jpeg.rf.557b023190873da6dc9191d3f7469536.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_IMG_856432_jpg.rf.730c5239f834ae8ba7597ff4c2a5b647,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\IMG_856432_jpg.rf.730c5239f834ae8ba7597ff4c2a5b647.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\IMG_856432_jpg.rf.730c5239f834ae8ba7597ff4c2a5b647.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_AtlanticPuffin3_jpeg.rf.7997d3b89513f51227c3c037b87177e1,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\AtlanticPuffin3_jpeg.rf.7997d3b89513f51227c3c037b87177e1.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\AtlanticPuffin3_jpeg.rf.7997d3b89513f51227c3c037b87177e1.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Picture23_png.rf.131b67a9ec373e5346679336de8aad83,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Picture23_png.rf.131b67a9ec373e5346679336de8aad83.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Picture23_png.rf.131b67a9ec373e5346679336de8aad83.txt,3,0,3,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_macareux-poissons_jpeg.rf.b9a037a0181b63f4cd45a395e14ac70e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-poissons_jpeg.rf.b9a037a0181b63f4cd45a395e14ac70e.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-poissons_jpeg.rf.b9a037a0181b63f4cd45a395e14ac70e.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_macareux-moine1_jpeg.rf.139e02e2fbe48ac5e6d0afc9c48ead61,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-moine1_jpeg.rf.139e02e2fbe48ac5e6d0afc9c48ead61.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-moine1_jpeg.rf.139e02e2fbe48ac5e6d0afc9c48ead61.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
valid_macareux-groupe-rocher_jpeg.rf.ef2573c6c9fd43c558800a824c34be52,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\macareux-groupe-rocher_jpeg.rf.ef2573c6c9fd43c558800a824c34be52.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\macareux-groupe-rocher_jpeg.rf.ef2573c6c9fd43c558800a824c34be52.txt,9,9,0,group,,,,yes,group,,no,a photo containing a group of puffins,
valid_kittiwake62_png.rf.7328f983bd10864d4e84c3a4946c01ec,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\kittiwake62_png.rf.7328f983bd10864d4e84c3a4946c01ec.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\kittiwake62_png.rf.7328f983bd10864d4e84c3a4946c01ec.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_razorbill15_png.rf.a1ed975f89d58b668b56ea05388db242,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\razorbill15_png.rf.a1ed975f89d58b668b56ea05388db242.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\razorbill15_png.rf.a1ed975f89d58b668b56ea05388db242.txt,18,16,2,group,,,,yes,group,,no,a photo containing a group of puffins,
train_puffin_trio_with_some_space_stephen_kress_7-2-15_jpeg.rf.82c81ffa32f854fa3f71c5f5878bbb0a,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\puffin_trio_with_some_space_stephen_kress_7-2-15_jpeg.rf.82c81ffa32f854fa3f71c5f5878bbb0a.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\puffin_trio_with_some_space_stephen_kress_7-2-15_jpeg.rf.82c81ffa32f854fa3f71c5f5878bbb0a.txt,3,3,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.4fe913adb150fc5da0de0f4bed9b1007,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.4fe913adb150fc5da0de0f4bed9b1007.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.4fe913adb150fc5da0de0f4bed9b1007.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
test_razorbill46_png.rf.d73ec4651c466c5e8c5e35a44b75bf02,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\razorbill46_png.rf.d73ec4651c466c5e8c5e35a44b75bf02.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\razorbill46_png.rf.d73ec4651c466c5e8c5e35a44b75bf02.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
valid_fullmar45_png.rf.70e31553d91fcdf76fd64391b7c59f0b,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\fullmar45_png.rf.70e31553d91fcdf76fd64391b7c59f0b.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\fullmar45_png.rf.70e31553d91fcdf76fd64391b7c59f0b.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_fullmar14_png.rf.96a18253a1538339e78ebbf83f61f069,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\fullmar14_png.rf.96a18253a1538339e78ebbf83f61f069.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\fullmar14_png.rf.96a18253a1538339e78ebbf83f61f069.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_Guillemot-20-28c-29-20Mike-20Snelle_jpeg.rf.83e18a02cb43197532ddea6bc8a53da6,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Guillemot-20-28c-29-20Mike-20Snelle_jpeg.rf.83e18a02cb43197532ddea6bc8a53da6.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Guillemot-20-28c-29-20Mike-20Snelle_jpeg.rf.83e18a02cb43197532ddea6bc8a53da6.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_razorbill80_png.rf.e2b8705f110b4fa3dae59e02cb8851a5,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\razorbill80_png.rf.e2b8705f110b4fa3dae59e02cb8851a5.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\razorbill80_png.rf.e2b8705f110b4fa3dae59e02cb8851a5.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_razorbill29_png.rf.81093fcf1d58a9d16c9ba65469fb5796,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\razorbill29_png.rf.81093fcf1d58a9d16c9ba65469fb5796.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\razorbill29_png.rf.81093fcf1d58a9d16c9ba65469fb5796.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_IjAb5gK_jpeg.rf.b9df959d7f0f36a41f9fa397d720d580,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\IjAb5gK_jpeg.rf.b9df959d7f0f36a41f9fa397d720d580.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\IjAb5gK_jpeg.rf.b9df959d7f0f36a41f9fa397d720d580.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
valid_Screenshot-2023-04-10-at-8-49-02-PM_png.rf.835ca0a4c0c23dbfbc018f7a57804230,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\Screenshot-2023-04-10-at-8-49-02-PM_png.rf.835ca0a4c0c23dbfbc018f7a57804230.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\Screenshot-2023-04-10-at-8-49-02-PM_png.rf.835ca0a4c0c23dbfbc018f7a57804230.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_atlantic_puffin_newfoundland2_jpeg.rf.28f0d3396e536d6115ec6a9f754408fe,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\atlantic_puffin_newfoundland2_jpeg.rf.28f0d3396e536d6115ec6a9f754408fe.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\atlantic_puffin_newfoundland2_jpeg.rf.28f0d3396e536d6115ec6a9f754408fe.txt,10,10,0,group,,,,yes,group,,no,a photo containing a group of puffins,
valid_IMG_8337_JPG.rf.26674014a22e2a77d6c2848856208047,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\IMG_8337_JPG.rf.26674014a22e2a77d6c2848856208047.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\IMG_8337_JPG.rf.26674014a22e2a77d6c2848856208047.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
valid_ray-hennessy-mpw37yXc_WQ-unsplash-1-_jpeg.rf.8ecc0b26e14789865b3c04a72a07827a,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\ray-hennessy-mpw37yXc_WQ-unsplash-1-_jpeg.rf.8ecc0b26e14789865b3c04a72a07827a.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\ray-hennessy-mpw37yXc_WQ-unsplash-1-_jpeg.rf.8ecc0b26e14789865b3c04a72a07827a.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Screenshot-2023-04-10-at-8-46-27-PM_png.rf.ac6598950f66b22985f500dc80839bf1,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-46-27-PM_png.rf.ac6598950f66b22985f500dc80839bf1.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-46-27-PM_png.rf.ac6598950f66b22985f500dc80839bf1.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Screenshot-2023-04-10-at-9-35-55-PM_png.rf.fff97e581dbbf90f2b6e9ec3701f1892,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-9-35-55-PM_png.rf.fff97e581dbbf90f2b6e9ec3701f1892.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-9-35-55-PM_png.rf.fff97e581dbbf90f2b6e9ec3701f1892.txt,4,4,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_DJI_20220726115318_0272_Z_JPG.rf.28dc7d6da5e1c60c2fee5b72503f574e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115318_0272_Z_JPG.rf.28dc7d6da5e1c60c2fee5b72503f574e.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115318_0272_Z_JPG.rf.28dc7d6da5e1c60c2fee5b72503f574e.txt,5,5,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_Screenshot-2023-04-10-at-8-34-13-PM_png.rf.c8ec877e557bca94293e18fb75e36017,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-34-13-PM_png.rf.c8ec877e557bca94293e18fb75e36017.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-34-13-PM_png.rf.c8ec877e557bca94293e18fb75e36017.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
valid_r97pp6_jpg.rf.6169450a4baf33e856465076c4775493,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\r97pp6_jpg.rf.6169450a4baf33e856465076c4775493.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\r97pp6_jpg.rf.6169450a4baf33e856465076c4775493.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_puffins_jpeg.rf.a81133e0185545cd73f5955e0069559b,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\puffins_jpeg.rf.a81133e0185545cd73f5955e0069559b.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\puffins_jpeg.rf.a81133e0185545cd73f5955e0069559b.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
valid_73I6184-500x333_jpeg.rf.00c2efd8917b48a855edd536058749c3,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\73I6184-500x333_jpeg.rf.00c2efd8917b48a855edd536058749c3.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\73I6184-500x333_jpeg.rf.00c2efd8917b48a855edd536058749c3.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_Screenshot-2023-04-10-at-8-35-10-PM_png.rf.c24f0f055760f271313652a6dc9afa1c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-35-10-PM_png.rf.c24f0f055760f271313652a6dc9afa1c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-35-10-PM_png.rf.c24f0f055760f271313652a6dc9afa1c.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.6d5f8d10f9760c1080fbad586d8fa38b,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.6d5f8d10f9760c1080fbad586d8fa38b.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\73dce282943e1b8451ae1f552eceb06fb24d761a_jpeg.rf.6d5f8d10f9760c1080fbad586d8fa38b.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
valid_Picture26_png.rf.47c2e97eb5dd9ae47a4858166b8ab549,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\Picture26_png.rf.47c2e97eb5dd9ae47a4858166b8ab549.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\Picture26_png.rf.47c2e97eb5dd9ae47a4858166b8ab549.txt,8,0,8,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_IMG_8334_JPG.rf.0d13a8d76d5909b15bf5b338e9ce63f3,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\IMG_8334_JPG.rf.0d13a8d76d5909b15bf5b338e9ce63f3.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\IMG_8334_JPG.rf.0d13a8d76d5909b15bf5b338e9ce63f3.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_636052234333420908-DSC-0240_jpeg.rf.e964cdb3e29fb4f316e2012dc8de5b18,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\636052234333420908-DSC-0240_jpeg.rf.e964cdb3e29fb4f316e2012dc8de5b18.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\636052234333420908-DSC-0240_jpeg.rf.e964cdb3e29fb4f316e2012dc8de5b18.txt,6,6,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_razorbill19_png.rf.4878cc3f467882b55b4dcb8d6005dc0a,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\razorbill19_png.rf.4878cc3f467882b55b4dcb8d6005dc0a.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\razorbill19_png.rf.4878cc3f467882b55b4dcb8d6005dc0a.txt,3,1,2,single,,,,yes,single,,no,a photo containing a single puffin,
train_puffins_jpeg.rf.a214a11afd6c99365c3f5b57e6082091,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\puffins_jpeg.rf.a214a11afd6c99365c3f5b57e6082091.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\puffins_jpeg.rf.a214a11afd6c99365c3f5b57e6082091.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_442b1677-jpg_jpeg.rf.0818c6f203cf6eff6685948b0d8bc33c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\442b1677-jpg_jpeg.rf.0818c6f203cf6eff6685948b0d8bc33c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\442b1677-jpg_jpeg.rf.0818c6f203cf6eff6685948b0d8bc33c.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
test_razorbill65_png.rf.f7e76cca66183f165a0767f6d19ab8bc,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\razorbill65_png.rf.f7e76cca66183f165a0767f6d19ab8bc.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\razorbill65_png.rf.f7e76cca66183f165a0767f6d19ab8bc.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_2f4meh9_jpg.rf.a1c480ccfde255f8e15af4077e527ac3,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\2f4meh9_jpg.rf.a1c480ccfde255f8e15af4077e527ac3.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\2f4meh9_jpg.rf.a1c480ccfde255f8e15af4077e527ac3.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
valid_83008_jpeg.rf.9592b079c1ff8233f17d8de2310fcfd8,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\83008_jpeg.rf.9592b079c1ff8233f17d8de2310fcfd8.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\83008_jpeg.rf.9592b079c1ff8233f17d8de2310fcfd8.txt,23,23,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_oICCmwc_jpeg.rf.6dda8e4e28c682f3b5ec51aac559072e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\oICCmwc_jpeg.rf.6dda8e4e28c682f3b5ec51aac559072e.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\oICCmwc_jpeg.rf.6dda8e4e28c682f3b5ec51aac559072e.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.39427c9cb0c4966b819f8d2e27699993,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.39427c9cb0c4966b819f8d2e27699993.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\18112483-088B-481D-A7ED-429EB386EDCF_jpeg.rf.39427c9cb0c4966b819f8d2e27699993.txt,6,6,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_DJI_20220726115638_0372_Z_JPG.rf.92b41383e63fe7132a0cb84cf4415a80,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115638_0372_Z_JPG.rf.92b41383e63fe7132a0cb84cf4415a80.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115638_0372_Z_JPG.rf.92b41383e63fe7132a0cb84cf4415a80.txt,5,5,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_macareux-moine2-1-_jpeg.rf.c62e576c4d7d906e4ec8444ba93dc8f9,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-moine2-1-_jpeg.rf.c62e576c4d7d906e4ec8444ba93dc8f9.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-moine2-1-_jpeg.rf.c62e576c4d7d906e4ec8444ba93dc8f9.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_tzzAUIu_jpeg.rf.621dbfb1371b81df4ca6e7be3a028aea,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\tzzAUIu_jpeg.rf.621dbfb1371b81df4ca6e7be3a028aea.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\tzzAUIu_jpeg.rf.621dbfb1371b81df4ca6e7be3a028aea.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_MM9216_210804_020634-crop_jpeg.rf.76c38582ff710e612135c89fdfa228e3,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\MM9216_210804_020634-crop_jpeg.rf.76c38582ff710e612135c89fdfa228e3.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\MM9216_210804_020634-crop_jpeg.rf.76c38582ff710e612135c89fdfa228e3.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_razorbill49_png.rf.84b6ef95b43d5d257fb66f9cfcd56a33,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\razorbill49_png.rf.84b6ef95b43d5d257fb66f9cfcd56a33.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\razorbill49_png.rf.84b6ef95b43d5d257fb66f9cfcd56a33.txt,2,1,1,single,,,,yes,single,,no,a photo containing a single puffin,
train_DJI_20220726115342_0284_Z_JPG.rf.87b94fa19421e244835f281fe76bd442,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115342_0284_Z_JPG.rf.87b94fa19421e244835f281fe76bd442.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115342_0284_Z_JPG.rf.87b94fa19421e244835f281fe76bd442.txt,4,4,0,few,,,,yes,few,,no,a photo containing a few puffins,
